"","TITLE"
"19","Yield curve instantaneous forward rate, 11-year maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"20","Yield curve instantaneous forward rate, 11-year 10-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"21","Yield curve instantaneous forward rate, 11-year 11-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"22","Yield curve instantaneous forward rate, 11-year 1-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"23","Yield curve instantaneous forward rate, 11-year 2-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"24","Yield curve instantaneous forward rate, 11-year 3-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"25","Yield curve instantaneous forward rate, 11-year 4-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"26","Yield curve instantaneous forward rate, 11-year 5-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"27","Yield curve instantaneous forward rate, 11-year 6-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"28","Yield curve instantaneous forward rate, 11-year 7-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"29","Yield curve instantaneous forward rate, 11-year 8-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"30","Yield curve instantaneous forward rate, 11-year 9-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"31","Yield curve instantaneous forward rate, 12-year maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"32","Yield curve instantaneous forward rate, 12-year 10-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"33","Yield curve instantaneous forward rate, 12-year 11-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"34","Yield curve instantaneous forward rate, 12-year 1-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"35","Yield curve instantaneous forward rate, 12-year 2-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"36","Yield curve instantaneous forward rate, 12-year 3-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"37","Yield curve instantaneous forward rate, 12-year 4-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"38","Yield curve instantaneous forward rate, 12-year 5-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"39","Yield curve instantaneous forward rate, 12-year 6-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"40","Yield curve instantaneous forward rate, 12-year 7-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"41","Yield curve instantaneous forward rate, 12-year 8-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"42","Yield curve instantaneous forward rate, 12-year 9-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"43","Yield curve instantaneous forward rate, 13-year maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"44","Yield curve instantaneous forward rate, 13-year 10-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"45","Yield curve instantaneous forward rate, 13-year 11-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"46","Yield curve instantaneous forward rate, 13-year 1-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"47","Yield curve instantaneous forward rate, 13-year 2-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"48","Yield curve instantaneous forward rate, 13-year 3-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"49","Yield curve instantaneous forward rate, 13-year 4-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"50","Yield curve instantaneous forward rate, 13-year 5-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"51","Yield curve instantaneous forward rate, 13-year 6-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"52","Yield curve instantaneous forward rate, 13-year 7-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"53","Yield curve instantaneous forward rate, 13-year 8-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"54","Yield curve instantaneous forward rate, 13-year 9-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"55","Yield curve instantaneous forward rate, 14-year maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"56","Yield curve instantaneous forward rate, 14-year 10-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"57","Yield curve instantaneous forward rate, 14-year 11-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"58","Yield curve instantaneous forward rate, 14-year 1-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"59","Yield curve instantaneous forward rate, 14-year 2-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"60","Yield curve instantaneous forward rate, 14-year 3-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"61","Yield curve instantaneous forward rate, 14-year 4-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"62","Yield curve instantaneous forward rate, 14-year 5-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"63","Yield curve instantaneous forward rate, 14-year 6-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"64","Yield curve instantaneous forward rate, 14-year 7-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"65","Yield curve instantaneous forward rate, 14-year 8-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"66","Yield curve instantaneous forward rate, 14-year 9-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"67","Yield curve instantaneous forward rate, 15-year maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"68","Yield curve instantaneous forward rate, 15-year 10-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"69","Yield curve instantaneous forward rate, 15-year 11-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"70","Yield curve instantaneous forward rate, 15-year 1-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"71","Yield curve instantaneous forward rate, 15-year 2-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"72","Yield curve instantaneous forward rate, 15-year 3-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"73","Yield curve instantaneous forward rate, 15-year 4-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"74","Yield curve instantaneous forward rate, 15-year 5-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"75","Yield curve instantaneous forward rate, 15-year 6-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"76","Yield curve instantaneous forward rate, 15-year 7-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"77","Yield curve instantaneous forward rate, 15-year 8-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"78","Yield curve instantaneous forward rate, 15-year 9-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"79","Yield curve instantaneous forward rate, 16-year maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"80","Yield curve instantaneous forward rate, 16-year 10-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"81","Yield curve instantaneous forward rate, 16-year 11-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"82","Yield curve instantaneous forward rate, 16-year 1-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"83","Yield curve instantaneous forward rate, 16-year 2-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"84","Yield curve instantaneous forward rate, 16-year 3-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"85","Yield curve instantaneous forward rate, 16-year 4-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"86","Yield curve instantaneous forward rate, 16-year 5-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"87","Yield curve instantaneous forward rate, 16-year 6-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"88","Yield curve instantaneous forward rate, 16-year 7-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"89","Yield curve instantaneous forward rate, 16-year 8-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"90","Yield curve instantaneous forward rate, 16-year 9-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"91","Yield curve instantaneous forward rate, 17-year maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"92","Yield curve instantaneous forward rate, 17-year 10-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"93","Yield curve instantaneous forward rate, 17-year 11-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"94","Yield curve instantaneous forward rate, 17-year 1-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"95","Yield curve instantaneous forward rate, 17-year 2-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"96","Yield curve instantaneous forward rate, 17-year 3-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"97","Yield curve instantaneous forward rate, 17-year 4-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"98","Yield curve instantaneous forward rate, 17-year 5-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"99","Yield curve instantaneous forward rate, 17-year 6-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"100","Yield curve instantaneous forward rate, 17-year 7-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"101","Yield curve instantaneous forward rate, 17-year 8-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"102","Yield curve instantaneous forward rate, 17-year 9-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"103","Yield curve instantaneous forward rate, 18-year maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"104","Yield curve instantaneous forward rate, 18-year 10-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"105","Yield curve instantaneous forward rate, 18-year 11-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"106","Yield curve instantaneous forward rate, 18-year 1-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"107","Yield curve instantaneous forward rate, 18-year 2-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"108","Yield curve instantaneous forward rate, 18-year 3-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"109","Yield curve instantaneous forward rate, 18-year 4-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"110","Yield curve instantaneous forward rate, 18-year 5-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"111","Yield curve instantaneous forward rate, 18-year 6-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"112","Yield curve instantaneous forward rate, 18-year 7-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"113","Yield curve instantaneous forward rate, 18-year 8-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"114","Yield curve instantaneous forward rate, 18-year 9-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"115","Yield curve instantaneous forward rate, 19-year maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"116","Yield curve instantaneous forward rate, 19-year 10-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"117","Yield curve instantaneous forward rate, 19-year 11-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"118","Yield curve instantaneous forward rate, 19-year 1-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"119","Yield curve instantaneous forward rate, 19-year 2-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"120","Yield curve instantaneous forward rate, 19-year 3-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"121","Yield curve instantaneous forward rate, 19-year 4-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"122","Yield curve instantaneous forward rate, 19-year 5-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"123","Yield curve instantaneous forward rate, 19-year 6-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"124","Yield curve instantaneous forward rate, 19-year 7-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"125","Yield curve instantaneous forward rate, 19-year 8-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"126","Yield curve instantaneous forward rate, 19-year 9-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"127","Yield curve instantaneous forward rate, 1-year maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"128","Yield curve instantaneous forward rate, 1-year 10-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"129","Yield curve instantaneous forward rate, 1-year 11-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"130","Yield curve instantaneous forward rate, 1-year 1-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"131","Yield curve instantaneous forward rate, 1-year 2-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"132","Yield curve instantaneous forward rate, 1-year 3-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"133","Yield curve instantaneous forward rate, 1-year 4-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"134","Yield curve instantaneous forward rate, 1-year 5-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"135","Yield curve instantaneous forward rate, 1-year 6-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"136","Yield curve instantaneous forward rate, 1-year 7-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"137","Yield curve instantaneous forward rate, 1-year 8-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"138","Yield curve instantaneous forward rate, 1-year 9-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"139","Yield curve instantaneous forward rate, 20-year maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"140","Yield curve instantaneous forward rate, 20-year 10-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"141","Yield curve instantaneous forward rate, 20-year 11-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"142","Yield curve instantaneous forward rate, 20-year 1-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"143","Yield curve instantaneous forward rate, 20-year 2-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"144","Yield curve instantaneous forward rate, 20-year 3-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"145","Yield curve instantaneous forward rate, 20-year 4-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"146","Yield curve instantaneous forward rate, 20-year 5-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"147","Yield curve instantaneous forward rate, 20-year 6-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"148","Yield curve instantaneous forward rate, 20-year 7-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"149","Yield curve instantaneous forward rate, 20-year 8-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"150","Yield curve instantaneous forward rate, 20-year 9-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"151","Yield curve instantaneous forward rate, 21-year maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"152","Yield curve instantaneous forward rate, 21-year 10-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"153","Yield curve instantaneous forward rate, 21-year 11-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"154","Yield curve instantaneous forward rate, 21-year 1-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"155","Yield curve instantaneous forward rate, 21-year 2-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"156","Yield curve instantaneous forward rate, 21-year 3-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"157","Yield curve instantaneous forward rate, 21-year 4-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"158","Yield curve instantaneous forward rate, 21-year 5-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"159","Yield curve instantaneous forward rate, 21-year 6-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"160","Yield curve instantaneous forward rate, 21-year 7-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"161","Yield curve instantaneous forward rate, 21-year 8-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"162","Yield curve instantaneous forward rate, 21-year 9-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"163","Yield curve instantaneous forward rate, 22-year maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"164","Yield curve instantaneous forward rate, 22-year 10-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"165","Yield curve instantaneous forward rate, 22-year 11-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"166","Yield curve instantaneous forward rate, 22-year 1-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"167","Yield curve instantaneous forward rate, 22-year 2-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"168","Yield curve instantaneous forward rate, 22-year 3-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"169","Yield curve instantaneous forward rate, 22-year 4-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"170","Yield curve instantaneous forward rate, 22-year 5-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"171","Yield curve instantaneous forward rate, 22-year 6-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"172","Yield curve instantaneous forward rate, 22-year 7-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"173","Yield curve instantaneous forward rate, 22-year 8-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"174","Yield curve instantaneous forward rate, 22-year 9-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"175","Yield curve instantaneous forward rate, 23-year maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"176","Yield curve instantaneous forward rate, 23-year 10-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"177","Yield curve instantaneous forward rate, 23-year 11-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"178","Yield curve instantaneous forward rate, 23-year 1-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"179","Yield curve instantaneous forward rate, 23-year 2-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"180","Yield curve instantaneous forward rate, 23-year 3-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"181","Yield curve instantaneous forward rate, 23-year 4-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"182","Yield curve instantaneous forward rate, 23-year 5-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"183","Yield curve instantaneous forward rate, 23-year 6-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"184","Yield curve instantaneous forward rate, 23-year 7-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"185","Yield curve instantaneous forward rate, 23-year 8-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"186","Yield curve instantaneous forward rate, 23-year 9-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"187","Yield curve instantaneous forward rate, 24-year maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"188","Yield curve instantaneous forward rate, 24-year 10-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"189","Yield curve instantaneous forward rate, 24-year 11-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"190","Yield curve instantaneous forward rate, 24-year 1-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"191","Yield curve instantaneous forward rate, 24-year 2-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"192","Yield curve instantaneous forward rate, 24-year 3-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"193","Yield curve instantaneous forward rate, 24-year 4-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"194","Yield curve instantaneous forward rate, 24-year 5-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"195","Yield curve instantaneous forward rate, 24-year 6-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"196","Yield curve instantaneous forward rate, 24-year 7-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"197","Yield curve instantaneous forward rate, 24-year 8-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"198","Yield curve instantaneous forward rate, 24-year 9-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"199","Yield curve instantaneous forward rate, 25-year maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"200","Yield curve instantaneous forward rate, 25-year 10-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"201","Yield curve instantaneous forward rate, 25-year 11-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"202","Yield curve instantaneous forward rate, 25-year 1-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"203","Yield curve instantaneous forward rate, 25-year 2-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"204","Yield curve instantaneous forward rate, 25-year 3-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"205","Yield curve instantaneous forward rate, 25-year 4-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"206","Yield curve instantaneous forward rate, 25-year 5-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"207","Yield curve instantaneous forward rate, 25-year 6-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"208","Yield curve instantaneous forward rate, 25-year 7-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"209","Yield curve instantaneous forward rate, 25-year 8-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"210","Yield curve instantaneous forward rate, 25-year 9-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"211","Yield curve instantaneous forward rate, 26-year maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"212","Yield curve instantaneous forward rate, 26-year 10-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"213","Yield curve instantaneous forward rate, 26-year 11-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"214","Yield curve instantaneous forward rate, 26-year 1-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"215","Yield curve instantaneous forward rate, 26-year 2-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"216","Yield curve instantaneous forward rate, 26-year 3-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"217","Yield curve instantaneous forward rate, 26-year 4-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"218","Yield curve instantaneous forward rate, 26-year 5-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"219","Yield curve instantaneous forward rate, 26-year 6-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"220","Yield curve instantaneous forward rate, 26-year 7-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"221","Yield curve instantaneous forward rate, 26-year 8-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"222","Yield curve instantaneous forward rate, 26-year 9-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"223","Yield curve instantaneous forward rate, 27-year maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"224","Yield curve instantaneous forward rate, 27-year 10-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
