"","Name","Clean_Company_Maturity","WKN","URL","ISIN","Company","Kupon_Maturity","Coupon","Maturity_Start","Maturity_End","is_green","last_price","DateTime","Volume.in.Euro","X.....","Currency","YTM","modified_duration","Kupon","Emittent","Branche","Fälligkeit","Schuldnerkündigungsart","Sonderkündigung","Nachrangig","Kleinste.handelbare.Einheit","Spezialist","Handelsmodell","Emissionsdatum","Emissionsvolumen","Umlaufendes.Volumen","Emissionswährung","Depotwährung","Notierungsaufnahme","Emission_year_2020.0","Emission_year_2021.0","Emission_year_2022.0","Emission_year_2023.0","Emission_year_2024.0","Emission_year_2025.0","Date","fälligkeit_datum","emission_datum","days_to_maturity","maturity_years"
"13","E.ON SE 0,875% 20/31","e on se 0 875 20 31","A289XM","https://www.boerse-frankfurt.de/anleihe/xs2177580508-e-on-se-0-875-20-31","xs2177580508","e on se","0 875 20 31",0.875,20,31,1,86.72,NA,0,"-0,10","Euro",3.08,5.205,"0,875%","E,ON SE","(Industrie-) und Bankschuldverschreibungen","20,08,2031","Special call","","",1000,"ODDO BHF SE","Fortlaufende Auktion","20/05/2020",5e+08,5e+08,"EUR","EUR","18,05,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","20/08/2031","20/05/2020",2420,6.63013698630137
"14","Japan Finance Organization for Municipalities 0,05% 20/27","japan finance organization for municipalities 0 05 20 27","A28TED","https://www.boerse-frankfurt.de/anleihe/xs2113121904-japan-finance-organization-for-municipalities-0-05-20-27","xs2113121904","japan finance organization for municipalities","0 05 20 27",0.05,20,27,1,94.77,NA,0,"-0,04","Euro",2.6,1.854,"0,050%","Japan Finance Organization for Municipalities","WÃ¤hrungsanleihen","12,02,2027","Special call","","",100000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","12/02/2020",5e+08,5e+08,"EUR","EUR","21,09,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","12/02/2027","12/02/2020",770,2.10958904109589
"15","Ungarn, Republik 1,75% 20/35","ungarn republik 1 75 20 35","A28X86","https://www.boerse-frankfurt.de/anleihe/xs2181689659-ungarn-republik-1-75-20-35","xs2181689659","ungarn republik","1 75 20 35",1.75,20,35,1,79.16,NA,0,"0,00","Euro",4.19,6.084,"17.5","Ungarn","WÃ¤hrungsanleihen","05,06,2035","","","",1000,"BAADER BANK AG","Fortlaufende Auktion","05/06/2020",1.5e+09,1.5e+09,"EUR","EUR","04,06,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","05/06/2035","05/06/2020",3805,10.4246575342466
"16","ProLogis International Funding II S.A. 1,625% 20/32","prologis international funding ii s a 1 625 20 32","A28YBX","https://www.boerse-frankfurt.de/anleihe/xs2187529180-prologis-international-funding-ii-s-a-1-625-20-32","xs2187529180","prologis international funding ii s a","1 625 20 32",1.625,20,32,1,87.76,NA,0,"-0,03","Euro",3.48,5.442,"16.25","ProLogis International Funding II S,A,","WÃ¤hrungsanleihen","17,06,2032","Special call","","",125000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","17/06/2020",5e+08,5e+08,"EUR","EUR","08,06,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","17/06/2032","17/06/2020",2722,7.45753424657534
"17","Volkswagen Leasing GmbH 0,25% 21/26","volkswagen leasing gmbh 0 25 21 26","A2GSF1","https://www.boerse-frankfurt.de/anleihe/xs2282094494-volkswagen-leasing-gmbh-0-25-21-26","xs2282094494","volkswagen leasing gmbh","0 25 21 26",0.25,21,26,0,97.52,NA,11.703,"0,16","Euro",2.77,0.000836,"0,250%","Volkswagen Leasing GmbH","(Industrie-) und Bankschuldverschreibungen","12,01,2026","","","",1000,"ODDO BHF SE","Fortlaufende Auktion","12/01/2021",7.5e+08,7.5e+08,"EUR","EUR","06,01,2021",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","12/01/2026","12/01/2021",374,1.02465753424658
"18","Landwirtschaftliche Rentenbank 0,000% 20/27","landwirtschaftliche rentenbank 0 000 20 27","A2LQQZ","https://www.boerse-frankfurt.de/anleihe/xs2233120554-landwirtschaftliche-rentenbank-0-000-20-27","xs2233120554","landwirtschaftliche rentenbank","0 000 20 27",0,20,27,1,93.77,NA,0,"-0,11","Euro",2.37,2.409,"","Landwirtschaftliche Rentenbank","Schuldverschreibungen von Sonderinstituten","22,09,2027","","","",1000,"BAADER BANK AG","Fortlaufende Auktion","22/09/2020",2e+09,2e+09,"EUR","EUR","17,09,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","22/09/2027","22/09/2020",992,2.71780821917808
"19","Volkswagen Leasing GmbH 0,625% 21/29","volkswagen leasing gmbh 0 625 21 29","A2YN0D","https://www.boerse-frankfurt.de/anleihe/xs2343822503-volkswagen-leasing-gmbh-0-625-21-29","xs2343822503","volkswagen leasing gmbh","0 625 21 29",0.625,21,29,0,88,NA,17.621,"0,00","Euro",3.48,3.768,"0,625%","Volkswagen Leasing GmbH","(Industrie-) und Bankschuldverschreibungen","19,07,2029","","","",1000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","19/05/2021",7.5e+08,7.5e+08,"EUR","EUR","17,05,2021",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","19/07/2029","19/05/2021",1658,4.54246575342466
"20","Volkswagen Leasing GmbH 3,875% 24/28","volkswagen leasing gmbh 3 875 24 28","A2YN0F","https://www.boerse-frankfurt.de/anleihe/xs2745725155-volkswagen-leasing-gmbh-3-875-24-28","xs2745725155","volkswagen leasing gmbh","3 875 24 28",3.875,24,28,0,100.9,NA,0,"-0,03","Euro",3.62,3.069,"38.75","Volkswagen Leasing GmbH","(Industrie-) und Bankschuldverschreibungen","11,10,2028","","","",1000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","11/01/2024",1.15e+09,1.15e+09,"EUR","EUR","08,01,2024",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"03/01/2025","11/10/2028","11/01/2024",1377,3.77260273972603
"21","Volkswagen Leasing GmbH 4% 24/31","volkswagen leasing gmbh 4 24 31","A2YN0G","https://www.boerse-frankfurt.de/anleihe/xs2745726047-volkswagen-leasing-gmbh-4-24-31","xs2745726047","volkswagen leasing gmbh","4 24 31",4,24,31,0,101.69,NA,20.338,"-0,10","Euro",3.7,4.469,"40","Volkswagen Leasing GmbH","(Industrie-) und Bankschuldverschreibungen","11,04,2031","","","",1000,"BAADER BANK AG","Fortlaufende Auktion","11/01/2024",7.5e+08,7.5e+08,"EUR","EUR","08,01,2024",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"03/01/2025","11/04/2031","11/01/2024",2289,6.27123287671233
"22","RWE AG 3,625% 23/29","rwe ag 3 625 23 29","A30V83","https://www.boerse-frankfurt.de/anleihe/xs2584685031-rwe-ag-3-625-23-29","xs2584685031","rwe ag","3 625 23 29",3.625,23,29,1,102.48,NA,0,"-0,11","Euro",2.99,3.362,"36.25","RWE AG","(Industrie-) und Bankschuldverschreibungen","13,02,2029","Special call","","",1000,"WALTER LUDWIG GMBH WERTPAPIERHANDELSBANK","Fortlaufende Auktion","13/02/2023",5e+08,5e+08,"EUR","EUR","09,02,2023",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"03/01/2025","13/02/2029","13/02/2023",1502,4.11506849315068
"23","RWE AG 4,125% 23/35","rwe ag 4 125 23 35","A30V84","https://www.boerse-frankfurt.de/anleihe/xs2584685387-rwe-ag-4-125-23-35","xs2584685387","rwe ag","4 125 23 35",4.125,23,35,1,104.11,NA,2.082,"0,44","Euro",3.64,5.988,"41.25","RWE AG","(Industrie-) und Bankschuldverschreibungen","13,02,2035","Special call","","",1000,"BAADER BANK AG","Fortlaufende Auktion","13/02/2023",5e+08,5e+08,"EUR","EUR","09,02,2023",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"03/01/2025","13/02/2035","13/02/2023",3693,10.1178082191781
"24","E.ON SE 3,5% 23/28","e on se 3 5 23 28","A30V8A","https://www.boerse-frankfurt.de/anleihe/xs2574873266-e-on-se-3-5-23-28","xs2574873266","e on se","3 5 23 28",3.5,23,28,0,102.24,NA,5.112,"0,33","Euro",2.73,2.568,"35","E,ON SE","(Industrie-) und Bankschuldverschreibungen","12,01,2028","Special call","","",1000,"WALTER LUDWIG GMBH WERTPAPIERHANDELSBANK","Fortlaufende Auktion","12/01/2023",8e+08,8e+08,"EUR","EUR","09,01,2023",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"03/01/2025","12/01/2028","12/01/2023",1104,3.02465753424658
"25","E.ON SE 3,875% 23/35","e on se 3 875 23 35","A30V8B","https://www.boerse-frankfurt.de/anleihe/xs2574873183-e-on-se-3-875-23-35","xs2574873183","e on se","3 875 23 35",3.875,23,35,1,101.89,NA,0,"0,13","Euro",3.65,5.987,"38.75","E,ON SE","(Industrie-) und Bankschuldverschreibungen","12,01,2035","Special call","","",1000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","12/01/2023",1e+09,1e+09,"EUR","EUR","09,01,2023",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"03/01/2025","12/01/2035","12/01/2023",3661,10.0301369863014
"26","ZF Finance GmbH 5,75% 23/26","zf finance gmbh 5 75 23 26","A30V8W","https://www.boerse-frankfurt.de/anleihe/xs2582404724-zf-finance-gmbh-5-75-23-26","xs2582404724","zf finance gmbh","5 75 23 26",5.75,23,26,1,101.54,NA,0,"0,32","Euro",4.74,1.331,"57.5","ZF Finance GmbH","(Industrie-) und Bankschuldverschreibungen","03,08,2026","Special call","","",100000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","03/02/2023",6.5e+08,6.5e+08,"EUR","EUR","30,01,2023",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"03/01/2025","03/08/2026","03/02/2023",577,1.58082191780822
"27","RWE AG 2,125% 22/26","rwe ag 2 125 22 26","A30VJE","https://www.boerse-frankfurt.de/anleihe/xs2482936247-rwe-ag-2-125-22-26","xs2482936247","rwe ag","2 125 22 26",2.125,22,26,1,99.15,NA,0,"0,00","Euro",2.75,1.179,"21.25","RWE AG","(Industrie-) und Bankschuldverschreibungen","24,05,2026","Special call","","",1000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","24/05/2022",1e+09,1e+09,"EUR","EUR","20,05,2022",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","24/05/2026","24/05/2022",506,1.38630136986301
"28","RWE AG 2,75% 22/30","rwe ag 2 75 22 30","A30VJF","https://www.boerse-frankfurt.de/anleihe/xs2482887879-rwe-ag-2-75-22-30","xs2482887879","rwe ag","2 75 22 30",2.75,22,30,1,98,NA,0,"0,10","Euro",3.15,4.249,"27.5","RWE AG","(Industrie-) und Bankschuldverschreibungen","24,05,2030","Special call","","",1000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","24/05/2022",1e+09,1e+09,"EUR","EUR","20,05,2022",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","24/05/2030","24/05/2022",1967,5.38904109589041
"29","Evonik Industries AG 2,25% 22/27","evonik industries ag 2 25 22 27","A30VJM","https://www.boerse-frankfurt.de/anleihe/xs2485162163-evonik-industries-ag-2-25-22-27","xs2485162163","evonik industries ag","2 25 22 27",2.25,22,27,1,98.38,NA,0,"-0,04","Euro",2.87,2.343,"22.5","Evonik Industries AG","(Industrie-) und Bankschuldverschreibungen","25,09,2027","Special call","","",100000,"ODDO BHF SE","Fortlaufende Auktion","25/05/2022",7.5e+08,7.5e+08,"EUR","EUR","20,05,2022",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","25/09/2027","25/05/2022",995,2.72602739726027
"30","Covestro AG 4,75% 22/28","covestro ag 4 75 22 28","A30VQX","https://www.boerse-frankfurt.de/anleihe/xs2554997937-covestro-ag-4-75-22-28","xs2554997937","covestro ag","4 75 22 28",4.75,22,28,1,105.91,NA,0,"-0,07","Euro",3.13,3.124,"47.5","Covestro AG","(Industrie-) und Bankschuldverschreibungen","15,11,2028","Special call","","",100000,"WALTER LUDWIG GMBH WERTPAPIERHANDELSBANK","Fortlaufende Auktion","15/11/2022",5e+08,5e+08,"EUR","EUR","10,11,2022",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","15/11/2028","15/11/2022",1412,3.86849315068493
"31","Landwirtschaftliche Rentenbank 3,25% 23/33","landwirtschaftliche rentenbank 3 25 23 33","A31RTB","https://www.boerse-frankfurt.de/anleihe/xs2694863841-landwirtschaftliche-rentenbank-3-25-23-33","xs2694863841","landwirtschaftliche rentenbank","3 25 23 33",3.25,23,33,1,104.48,NA,0,"-0,03","Euro",2.68,6.108,"32.5","Landwirtschaftliche Rentenbank","Schuldverschreibungen von Sonderinstituten","26,09,2033","","","",1000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","26/09/2023",1e+09,1e+09,"EUR","EUR","21,09,2023",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"03/01/2025","26/09/2033","26/09/2023",3188,8.73424657534247
"32","Volkswagen Leasing GmbH 4,5% 23/26","volkswagen leasing gmbh 4 5 23 26","A3514T","https://www.boerse-frankfurt.de/anleihe/xs2694872081-volkswagen-leasing-gmbh-4-5-23-26","xs2694872081","volkswagen leasing gmbh","4 5 23 26",4.5,23,26,1,101.56,NA,0,"-0,18","Euro",3.2,1.025,"45","Volkswagen Leasing GmbH","(Industrie-) und Bankschuldverschreibungen","25,03,2026","Special call","","",1000,"ODDO BHF SE","Fortlaufende Auktion","25/09/2023",8e+08,8e+08,"EUR","EUR","20,09,2023",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"03/01/2025","25/03/2026","25/09/2023",446,1.22191780821918
"33","Volkswagen Leasing GmbH 4,625% 23/29","volkswagen leasing gmbh 4 625 23 29","A3514U","https://www.boerse-frankfurt.de/anleihe/xs2694872594-volkswagen-leasing-gmbh-4-625-23-29","xs2694872594","volkswagen leasing gmbh","4 625 23 29",4.625,23,29,1,103.66,NA,0,"-1,16","Euro",3.69,3.339,"46.25","Volkswagen Leasing GmbH","(Industrie-) und Bankschuldverschreibungen","25,03,2029","Special call","","",1000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","25/09/2023",5e+08,5e+08,"EUR","EUR","20,09,2023",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"03/01/2025","25/03/2029","25/09/2023",1542,4.22465753424658
"34","Volkswagen Leasing GmbH 4,75% 23/31","volkswagen leasing gmbh 4 75 23 31","A3514V","https://www.boerse-frankfurt.de/anleihe/xs2694874533-volkswagen-leasing-gmbh-4-75-23-31","xs2694874533","volkswagen leasing gmbh","4 75 23 31",4.75,23,31,1,106.34,NA,31.901,"1,38","Euro",3.69,4.633,"47.5","Volkswagen Leasing GmbH","(Industrie-) und Bankschuldverschreibungen","25,09,2031","Special call","","",1000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","25/09/2023",7e+08,7e+08,"EUR","EUR","20,09,2023",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"03/01/2025","25/09/2031","25/09/2023",2456,6.72876712328767
"35","E.ON SE 3,75% 23/29","e on se 3 75 23 29","A351VG","https://www.boerse-frankfurt.de/anleihe/xs2673536541-e-on-se-3-75-23-29","xs2673536541","e on se","3 75 23 29",3.75,23,29,1,102.95,NA,0,"-0,07","Euro",3,3.395,"37.5","E,ON SE","(Industrie-) und Bankschuldverschreibungen","01,03,2029","Special call","","",1000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","29/08/2023",7.5e+08,7.5e+08,"EUR","EUR","24,08,2023",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"03/01/2025","01/03/2029","29/08/2023",1518,4.15890410958904
"36","E.ON SE 4% 23/33","e on se 4 23 33","A351VH","https://www.boerse-frankfurt.de/anleihe/xs2673547746-e-on-se-4-23-33","xs2673547746","e on se","4 23 33",4,23,33,1,104.11,NA,0,"-0,07","Euro",3.45,5.564,"40","E,ON SE","(Industrie-) und Bankschuldverschreibungen","29,08,2033","Special call","","",1000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","29/08/2023",7.5e+08,7.5e+08,"EUR","EUR","24,08,2023",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"03/01/2025","29/08/2033","29/08/2023",3160,8.65753424657534
"37","RWE AG 3,625% 24/32","rwe ag 3 625 24 32","A3826L","https://www.boerse-frankfurt.de/anleihe/xs2743711298-rwe-ag-3-625-24-32","xs2743711298","rwe ag","3 625 24 32",3.625,24,32,0,102.2,NA,3.066,"0,15","Euro",3.28,5,"36.25","RWE AG","(Industrie-) und Bankschuldverschreibungen","10,01,2032","Special call","","",1000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","10/01/2024",5e+08,5e+08,"EUR","EUR","08,01,2024",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"03/01/2025","10/01/2032","10/01/2024",2563,7.02191780821918
"38","E.ON SE 4,125% 24/44","e on se 4 125 24 44","A383CW","https://www.boerse-frankfurt.de/anleihe/xs2791960664-e-on-se-4-125-24-44","xs2791960664","e on se","4 125 24 44",4.125,24,44,0,101.75,NA,2.035,"0,22","Euro",4,6.359,"41.25","E,ON SE","(Industrie-) und Bankschuldverschreibungen","25,03,2044","Special call","","",1000,"WALTER LUDWIG GMBH WERTPAPIERHANDELSBANK","Fortlaufende Auktion","25/03/2024",1e+09,1e+09,"EUR","EUR","20,03,2024",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"03/01/2025","25/03/2044","25/03/2024",7021,19.2356164383562
"39","E.ON SE 3,875% 24/38","e on se 3 875 24 38","A383UW","https://www.boerse-frankfurt.de/anleihe/xs2895631641-e-on-se-3-875-24-38","xs2895631641","e on se","3 875 24 38",3.875,24,38,0,101.11,NA,5.056,"-0,32","Euro",3.77,6.451,"38.75","E,ON SE","(Industrie-) und Bankschuldverschreibungen","05,09,2038","Special call","","",1000,"BAADER BANK AG","Fortlaufende Auktion","05/09/2024",5e+08,5e+08,"EUR","EUR","02,09,2024",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"03/01/2025","05/09/2038","05/09/2024",4993,13.6794520547945
"40","Covestro AG 0,875% 20/26","covestro ag 0 875 20 26","A3E44L","https://www.boerse-frankfurt.de/anleihe/xs2188805688-covestro-ag-0-875-20-26","xs2188805688","covestro ag","0 875 20 26",0.875,20,26,0,98.05,NA,981,"-0,02","Euro",2.7,0.000895,"0,875%","Covestro AG","(Industrie-) und Bankschuldverschreibungen","03,02,2026","Special call","","",1000,"ODDO BHF SE","Fortlaufende Auktion","12/06/2020",5e+08,5e+08,"EUR","EUR","09,06,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","03/02/2026","12/06/2020",396,1.08493150684932
