Name,Clean_Company_Maturity,WKN,URL,ISIN,Company + Kupon and Maturity,Company,Kupon_Maturity,Coupon,Maturity_Start,Maturity_End,is_green
"Instituto de Credito Oficial 0,000% 20/26",instituto de credito oficial 0 000 20 26,A28395,https://www.boerse-frankfurt.de/anleihe/xs2250026734-instituto-de-credito-oficial-0-000-20-26,xs2250026734,instituto-de-credito-oficial-0-000-20-26,instituto de credito oficial,0 000 20 26,0,20,26,0
"Volvo Car AB 2,5% 20/27",volvo car ab 2 5 20 27,A283HB,https://www.boerse-frankfurt.de/anleihe/xs2240978085-volvo-car-ab-2-5-20-27,xs2240978085,#NAME?,volvo car ab,2 5 20 27,2.5,20,27,1
"Volvo Car AB 2,5% 20/27",volvo car ab 2 5 20 27,A283HB,https://www.boerse-frankfurt.de/anleihe/xs2240978085-volvo-car-ab-2-5-20-27,xs2240978085,volvo-car-ab-2-5-20-27,volvo car ab,2 5 20 27,2.5,20,27,0
"National Bank of Greece S.A. 2,75% 20/26",national bank of greece s a 2 75 20 26,A283HP,https://www.boerse-frankfurt.de/anleihe/xs2237982769-national-bank-of-greece-s-a-2-75-20-26,xs2237982769,#NAME?,national bank of greece s a,2 75 20 26,2.75,20,26,1
"National Bank of Greece S.A. 2,75% 20/26",national bank of greece s a 2 75 20 26,A283HP,https://www.boerse-frankfurt.de/anleihe/xs2237982769-national-bank-of-greece-s-a-2-75-20-26,xs2237982769,national-bank-of-greece-s-a-2-75-20-26,national bank of greece s a,2 75 20 26,2.75,20,26,0
"EnBW International Finance B.V. 0,25% 20/30",enbw international finance b v 0 25 20 30,A283UQ,https://www.boerse-frankfurt.de/anleihe/xs2242728041-enbw-international-finance-b-v-0-25-20-30,xs2242728041,enbw-international-finance-b-v-0-25-20-30,enbw international finance b v,0 25 20 30,0.25,20,30,0
"De Volksbank N.V. 0,125% 20/40",de volksbank n v 0 125 20 40,A28439,https://www.boerse-frankfurt.de/anleihe/xs2259193998-de-volksbank-n-v-0-125-20-40,xs2259193998,de-volksbank-n-v-0-125-20-40,de volksbank n v,0 125 20 40,0.125,20,40,0
"Ungarn, Republik 0,5% 20/30",ungarn republik 0 5 20 30,A2848P,https://www.boerse-frankfurt.de/anleihe/xs2259191273-ungarn-republik-0-5-20-30,xs2259191273,ungarn-republik-0-5-20-30,ungarn republik,0 5 20 30,0.5,20,30,0
"Stora Enso Oyj 0,625% 20/30",stora enso oyj 0 625 20 30,A285YE,https://www.boerse-frankfurt.de/anleihe/xs2265360359-stora-enso-oyj-0-625-20-30,xs2265360359,#NAME?,stora enso oyj,0 625 20 30,0.625,20,30,1
"Stora Enso Oyj 0,625% 20/30",stora enso oyj 0 625 20 30,A285YE,https://www.boerse-frankfurt.de/anleihe/xs2265360359-stora-enso-oyj-0-625-20-30,xs2265360359,stora-enso-oyj-0-625-20-30,stora enso oyj,0 625 20 30,0.625,20,30,0
"Banco BTG Pactual S.A. 2,75% 21/26",banco btg pactual s a 2 75 21 26,A287JN,https://www.boerse-frankfurt.de/anleihe/us05971bag41-banco-btg-pactual-s-a-2-75-21-26,us05971bag41,#NAME?,banco btg pactual s a,2 75 21 26,2.75,21,26,1
"Banco BTG Pactual S.A. 2,75% 21/26",banco btg pactual s a 2 75 21 26,A287JN,https://www.boerse-frankfurt.de/anleihe/us05971bag41-banco-btg-pactual-s-a-2-75-21-26,us05971bag41,banco-btg-pactual-s-a-2-75-21-26,banco btg pactual s a,2 75 21 26,2.75,21,26,0
"Volkswagen International Finance N.V. 1,5% 21/41",volkswagen international finance n v 1 5 21 41,A287X4,https://www.boerse-frankfurt.de/anleihe/xs2289841087-volkswagen-international-finance-n-v-1-5-21-41,xs2289841087,volkswagen-international-finance-n-v-1-5-21-41,volkswagen international finance n v,1 5 21 41,1.5,21,41,0
"ACEA S.p.A. 0,25% 21/30",acea s p a 0 25 21 30,A288DX,https://www.boerse-frankfurt.de/anleihe/xs2292487076-acea-s-p-a-0-25-21-30,xs2292487076,#NAME?,acea s p a,0 25 21 30,0.25,21,30,1
"ACEA S.p.A. 0,25% 21/30",acea s p a 0 25 21 30,A288DX,https://www.boerse-frankfurt.de/anleihe/xs2292487076-acea-s-p-a-0-25-21-30,xs2292487076,acea-s-p-a-0-25-21-30,acea s p a,0 25 21 30,0.25,21,30,0
"BASF SE 0,25% 20/27",basf se 0 25 20 27,A289DC,https://www.boerse-frankfurt.de/anleihe/de000a289dc9-basf-se-0-25-20-27,de000a289dc9,#NAME?,basf se,0 25 20 27,0.25,20,27,1
"BASF SE 0,25% 20/27",basf se 0 25 20 27,A289DC,https://www.boerse-frankfurt.de/anleihe/de000a289dc9-basf-se-0-25-20-27,de000a289dc9,basf-se-0-25-20-27,basf se,0 25 20 27,0.25,20,27,0
"Eurogrid GmbH 1,113% 20/32",eurogrid gmbh 1 113 20 32,A289DG,https://www.boerse-frankfurt.de/anleihe/xs2171713006-eurogrid-gmbh-1-113-20-32,xs2171713006,#NAME?,eurogrid gmbh,1 113 20 32,1.113,20,32,1
"Eurogrid GmbH 1,113% 20/32",eurogrid gmbh 1 113 20 32,A289DG,https://www.boerse-frankfurt.de/anleihe/xs2171713006-eurogrid-gmbh-1-113-20-32,xs2171713006,eurogrid-gmbh-1-113-20-32,eurogrid gmbh,1 113 20 32,1.113,20,32,0
"Hamburger Hochbahn AG 0,125% 21/31",hamburger hochbahn ag 0 125 21 31,A289Q6,https://www.boerse-frankfurt.de/anleihe/xs2233088132-hamburger-hochbahn-ag-0-125-21-31,xs2233088132,#NAME?,hamburger hochbahn ag,0 125 21 31,0.125,21,31,1
"Hamburger Hochbahn AG 0,125% 21/31",hamburger hochbahn ag 0 125 21 31,A289Q6,https://www.boerse-frankfurt.de/anleihe/xs2233088132-hamburger-hochbahn-ag-0-125-21-31,xs2233088132,hamburger-hochbahn-ag-0-125-21-31,hamburger hochbahn ag,0 125 21 31,0.125,21,31,0
"Mercedes-Benz Group AG 0,75% 20/30",mercedes benz group ag 0 75 20 30,A289QR,https://www.boerse-frankfurt.de/anleihe/de000a289qr9-mercedes-benz-group-ag-0-75-20-30,de000a289qr9,#NAME?,mercedes benz group ag,0 75 20 30,0.75,20,30,1
"Mercedes-Benz Group AG 0,75% 20/30",mercedes benz group ag 0 75 20 30,A289QR,https://www.boerse-frankfurt.de/anleihe/de000a289qr9-mercedes-benz-group-ag-0-75-20-30,de000a289qr9,mercedes-benz-group-ag-0-75-20-30,mercedes benz group ag,0 75 20 30,0.75,20,30,0
"Mercedes-Benz Group AG 2,375% 20/30",mercedes benz group ag 2 375 20 30,A289XG,https://www.boerse-frankfurt.de/anleihe/de000a289xg8-mercedes-benz-group-ag-2-375-20-30,de000a289xg8,mercedes-benz-group-ag-2-375-20-30,mercedes benz group ag,2 375 20 30,2.375,20,30,0
Mercedes-Benz International Finance B.V. 2% 20/26,mercedes benz international finance b v 2 20 26,A289XJ,https://www.boerse-frankfurt.de/anleihe/de000a289xj2-mercedes-benz-international-finance-b-v-2-20-26,de000a289xj2,mercedes-benz-international-finance-b-v-2-20-26,mercedes benz international finance b v,2 20 26,2,20,26,0
"E.ON SE 0,75% 20/28",e on se 0 75 20 28,A289XL,https://www.boerse-frankfurt.de/anleihe/xs2177580250-e-on-se-0-75-20-28,xs2177580250,e-on-se-0-75-20-28,e on se,0 75 20 28,0.75,20,28,0
"E.ON SE 0,875% 20/31",e on se 0 875 20 31,A289XM,https://www.boerse-frankfurt.de/anleihe/xs2177580508-e-on-se-0-875-20-31,xs2177580508,#NAME?,e on se,0 875 20 31,0.875,20,31,1
"E.ON SE 0,875% 20/31",e on se 0 875 20 31,A289XM,https://www.boerse-frankfurt.de/anleihe/xs2177580508-e-on-se-0-875-20-31,xs2177580508,e-on-se-0-875-20-31,e on se,0 875 20 31,0.875,20,31,0
"Power Finance Corp. Ltd. 3,95% 20/30",power finance corp ltd 3 95 20 30,A28SJD,https://www.boerse-frankfurt.de/anleihe/us73928rab24-power-finance-corp-ltd-3-95-20-30,us73928rab24,power-finance-corp-ltd-3-95-20-30,power finance corp ltd,3 95 20 30,3.95,20,30,0
"Telia Company AB 1,375% 20/81",telia company ab 1 375 20 81,A28TEC,https://www.boerse-frankfurt.de/anleihe/xs2082429890-telia-company-ab-1-375-20-81,xs2082429890,#NAME?,telia company ab,1 375 20 81,1.375,20,81,1
"Telia Company AB 1,375% 20/81",telia company ab 1 375 20 81,A28TEC,https://www.boerse-frankfurt.de/anleihe/xs2082429890-telia-company-ab-1-375-20-81,xs2082429890,telia-company-ab-1-375-20-81,telia company ab,1 375 20 81,1.375,20,81,0
"Japan Finance Organization for Municipalities 0,05% 20/27",japan finance organization for municipalities 0 05 20 27,A28TED,https://www.boerse-frankfurt.de/anleihe/xs2113121904-japan-finance-organization-for-municipalities-0-05-20-27,xs2113121904,#NAME?,japan finance organization for municipalities,0 05 20 27,0.05,20,27,1
"Japan Finance Organization for Municipalities 0,05% 20/27",japan finance organization for municipalities 0 05 20 27,A28TED,https://www.boerse-frankfurt.de/anleihe/xs2113121904-japan-finance-organization-for-municipalities-0-05-20-27,xs2113121904,japan-finance-organization-for-municipalities-0-05-20-27,japan finance organization for municipalities,0 05 20 27,0.05,20,27,0
"Quebec, Provinz 1,85% 20/27",quebec provinz 1 85 20 27,A28TLW,https://www.boerse-frankfurt.de/anleihe/ca748148sa23-quebec-provinz-1-85-20-27,ca748148sa23,#NAME?,quebec provinz,1 85 20 27,1.85,20,27,1
"Quebec, Provinz 1,85% 20/27",quebec provinz 1 85 20 27,A28TLW,https://www.boerse-frankfurt.de/anleihe/ca748148sa23-quebec-provinz-1-85-20-27,ca748148sa23,quebec-provinz-1-85-20-27,quebec provinz,1 85 20 27,1.85,20,27,0
"Ungarn, Republik 1,125% 20/26",ungarn republik 1 125 20 26,A28WQ7,https://www.boerse-frankfurt.de/anleihe/xs2161992198-ungarn-republik-1-125-20-26,xs2161992198,ungarn-republik-1-125-20-26,ungarn republik,1 125 20 26,1.125,20,26,0
"Ungarn, Republik 1,75% 20/35",ungarn republik 1 75 20 35,A28X86,https://www.boerse-frankfurt.de/anleihe/xs2181689659-ungarn-republik-1-75-20-35,xs2181689659,#NAME?,ungarn republik,1 75 20 35,1.75,20,35,1
"Ungarn, Republik 1,75% 20/35",ungarn republik 1 75 20 35,A28X86,https://www.boerse-frankfurt.de/anleihe/xs2181689659-ungarn-republik-1-75-20-35,xs2181689659,ungarn-republik-1-75-20-35,ungarn republik,1 75 20 35,1.75,20,35,0
"International Finance Corp. 0,000% 20/30",international finance corp 0 000 20 30,A28XUH,https://www.boerse-frankfurt.de/anleihe/xs2177447179-international-finance-corp-0-000-20-30,xs2177447179,international-finance-corp-0-000-20-30,international finance corp,0 000 20 30,0,20,30,0
Nederlandse Waterschapsbank N.V. 1% 20/30,nederlandse waterschapsbank n v 1 20 30,A28XVR,https://www.boerse-frankfurt.de/anleihe/xs2180643889-nederlandse-waterschapsbank-n-v-1-20-30,xs2180643889,#NAME?,nederlandse waterschapsbank n v,1 20 30,1,20,30,1
Nederlandse Waterschapsbank N.V. 1% 20/30,nederlandse waterschapsbank n v 1 20 30,A28XVR,https://www.boerse-frankfurt.de/anleihe/xs2180643889-nederlandse-waterschapsbank-n-v-1-20-30,xs2180643889,nederlandse-waterschapsbank-n-v-1-20-30,nederlandse waterschapsbank n v,1 20 30,1,20,30,0
"ProLogis International Funding II S.A. 1,625% 20/32",prologis international funding ii s a 1 625 20 32,A28YBX,https://www.boerse-frankfurt.de/anleihe/xs2187529180-prologis-international-funding-ii-s-a-1-625-20-32,xs2187529180,#NAME?,prologis international funding ii s a,1 625 20 32,1.625,20,32,1
"ProLogis International Funding II S.A. 1,625% 20/32",prologis international funding ii s a 1 625 20 32,A28YBX,https://www.boerse-frankfurt.de/anleihe/xs2187529180-prologis-international-funding-ii-s-a-1-625-20-32,xs2187529180,prologis-international-funding-ii-s-a-1-625-20-32,prologis international funding ii s a,1 625 20 32,1.625,20,32,0
"Sparebanken Vest Boligkreditt AS 0,01% 20/27",sparebanken vest boligkreditt as 0 01 20 27,A28ZK9,https://www.boerse-frankfurt.de/anleihe/xs2199484929-sparebanken-vest-boligkreditt-as-0-01-20-27,xs2199484929,#NAME?,sparebanken vest boligkreditt as,0 01 20 27,0.01,20,27,1
"Sparebanken Vest Boligkreditt AS 0,01% 20/27",sparebanken vest boligkreditt as 0 01 20 27,A28ZK9,https://www.boerse-frankfurt.de/anleihe/xs2199484929-sparebanken-vest-boligkreditt-as-0-01-20-27,xs2199484929,sparebanken-vest-boligkreditt-as-0-01-20-27,sparebanken vest boligkreditt as,0 01 20 27,0.01,20,27,0
"Merlin Properties SOCIMI S.A. 2,375% 20/27",merlin properties socimi s a 2 375 20 27,A28ZT1,https://www.boerse-frankfurt.de/anleihe/xs2201946634-merlin-properties-socimi-s-a-2-375-20-27,xs2201946634,#NAME?,merlin properties socimi s a,2 375 20 27,2.375,20,27,1
"Merlin Properties SOCIMI S.A. 2,375% 20/27",merlin properties socimi s a 2 375 20 27,A28ZT1,https://www.boerse-frankfurt.de/anleihe/xs2201946634-merlin-properties-socimi-s-a-2-375-20-27,xs2201946634,merlin-properties-socimi-s-a-2-375-20-27,merlin properties socimi s a,2 375 20 27,2.375,20,27,0
"Volkswagen Leasing GmbH 0,25% 21/26",volkswagen leasing gmbh 0 25 21 26,A2GSF1,https://www.boerse-frankfurt.de/anleihe/xs2282094494-volkswagen-leasing-gmbh-0-25-21-26,xs2282094494,volkswagen-leasing-gmbh-0-25-21-26,volkswagen leasing gmbh,0 25 21 26,0.25,21,26,0
"Landwirtschaftliche Rentenbank 1,75% 20/27",landwirtschaftliche rentenbank 1 75 20 27,A2LQQV,https://www.boerse-frankfurt.de/anleihe/xs2101346208-landwirtschaftliche-rentenbank-1-75-20-27,xs2101346208,landwirtschaftliche-rentenbank-1-75-20-27,landwirtschaftliche rentenbank,1 75 20 27,1.75,20,27,0
"Landwirtschaftliche Rentenbank 0,000% 20/27",landwirtschaftliche rentenbank 0 000 20 27,A2LQQZ,https://www.boerse-frankfurt.de/anleihe/xs2233120554-landwirtschaftliche-rentenbank-0-000-20-27,xs2233120554,#NAME?,landwirtschaftliche rentenbank,0 000 20 27,0,20,27,1
"Landwirtschaftliche Rentenbank 0,000% 20/27",landwirtschaftliche rentenbank 0 000 20 27,A2LQQZ,https://www.boerse-frankfurt.de/anleihe/xs2233120554-landwirtschaftliche-rentenbank-0-000-20-27,xs2233120554,landwirtschaftliche-rentenbank-0-000-20-27,landwirtschaftliche rentenbank,0 000 20 27,0,20,27,0
"Volkswagen Leasing GmbH 0,5% 21/29",volkswagen leasing gmbh 0 5 21 29,A2YN0A,https://www.boerse-frankfurt.de/anleihe/xs2282095970-volkswagen-leasing-gmbh-0-5-21-29,xs2282095970,volkswagen-leasing-gmbh-0-5-21-29,volkswagen leasing gmbh,0 5 21 29,0.5,21,29,0
"Volkswagen Leasing GmbH 0,375% 21/26",volkswagen leasing gmbh 0 375 21 26,A2YN0C,https://www.boerse-frankfurt.de/anleihe/xs2343822842-volkswagen-leasing-gmbh-0-375-21-26,xs2343822842,volkswagen-leasing-gmbh-0-375-21-26,volkswagen leasing gmbh,0 375 21 26,0.375,21,26,0
"Volkswagen Leasing GmbH 0,625% 21/29",volkswagen leasing gmbh 0 625 21 29,A2YN0D,https://www.boerse-frankfurt.de/anleihe/xs2343822503-volkswagen-leasing-gmbh-0-625-21-29,xs2343822503,volkswagen-leasing-gmbh-0-625-21-29,volkswagen leasing gmbh,0 625 21 29,0.625,21,29,0
"Volkswagen Leasing GmbH 3,625% 24/26",volkswagen leasing gmbh 3 625 24 26,A2YN0E,https://www.boerse-frankfurt.de/anleihe/xs2745344601-volkswagen-leasing-gmbh-3-625-24-26,xs2745344601,volkswagen-leasing-gmbh-3-625-24-26,volkswagen leasing gmbh,3 625 24 26,3.625,24,26,0
"Volkswagen Leasing GmbH 3,875% 24/28",volkswagen leasing gmbh 3 875 24 28,A2YN0F,https://www.boerse-frankfurt.de/anleihe/xs2745725155-volkswagen-leasing-gmbh-3-875-24-28,xs2745725155,volkswagen-leasing-gmbh-3-875-24-28,volkswagen leasing gmbh,3 875 24 28,3.875,24,28,0
Volkswagen Leasing GmbH 4% 24/31,volkswagen leasing gmbh 4 24 31,A2YN0G,https://www.boerse-frankfurt.de/anleihe/xs2745726047-volkswagen-leasing-gmbh-4-24-31,xs2745726047,volkswagen-leasing-gmbh-4-24-31,volkswagen leasing gmbh,4 24 31,4,24,31,0
"RWE AG 3,625% 23/29",rwe ag 3 625 23 29,A30V83,https://www.boerse-frankfurt.de/anleihe/xs2584685031-rwe-ag-3-625-23-29,xs2584685031,#NAME?,rwe ag,3 625 23 29,3.625,23,29,1
"RWE AG 3,625% 23/29",rwe ag 3 625 23 29,A30V83,https://www.boerse-frankfurt.de/anleihe/xs2584685031-rwe-ag-3-625-23-29,xs2584685031,rwe-ag-3-625-23-29,rwe ag,3 625 23 29,3.625,23,29,0
"RWE AG 4,125% 23/35",rwe ag 4 125 23 35,A30V84,https://www.boerse-frankfurt.de/anleihe/xs2584685387-rwe-ag-4-125-23-35,xs2584685387,#NAME?,rwe ag,4 125 23 35,4.125,23,35,1
"RWE AG 4,125% 23/35",rwe ag 4 125 23 35,A30V84,https://www.boerse-frankfurt.de/anleihe/xs2584685387-rwe-ag-4-125-23-35,xs2584685387,rwe-ag-4-125-23-35,rwe ag,4 125 23 35,4.125,23,35,0
"E.ON SE 3,5% 23/28",e on se 3 5 23 28,A30V8A,https://www.boerse-frankfurt.de/anleihe/xs2574873266-e-on-se-3-5-23-28,xs2574873266,e-on-se-3-5-23-28,e on se,3 5 23 28,3.5,23,28,0
"E.ON SE 3,875% 23/35",e on se 3 875 23 35,A30V8B,https://www.boerse-frankfurt.de/anleihe/xs2574873183-e-on-se-3-875-23-35,xs2574873183,#NAME?,e on se,3 875 23 35,3.875,23,35,1
"E.ON SE 3,875% 23/35",e on se 3 875 23 35,A30V8B,https://www.boerse-frankfurt.de/anleihe/xs2574873183-e-on-se-3-875-23-35,xs2574873183,e-on-se-3-875-23-35,e on se,3 875 23 35,3.875,23,35,0
"ZF Finance GmbH 5,75% 23/26",zf finance gmbh 5 75 23 26,A30V8W,https://www.boerse-frankfurt.de/anleihe/xs2582404724-zf-finance-gmbh-5-75-23-26,xs2582404724,#NAME?,zf finance gmbh,5 75 23 26,5.75,23,26,1
"ZF Finance GmbH 5,75% 23/26",zf finance gmbh 5 75 23 26,A30V8W,https://www.boerse-frankfurt.de/anleihe/xs2582404724-zf-finance-gmbh-5-75-23-26,xs2582404724,zf-finance-gmbh-5-75-23-26,zf finance gmbh,5 75 23 26,5.75,23,26,0
"RWE AG 2,125% 22/26",rwe ag 2 125 22 26,A30VJE,https://www.boerse-frankfurt.de/anleihe/xs2482936247-rwe-ag-2-125-22-26,xs2482936247,#NAME?,rwe ag,2 125 22 26,2.125,22,26,1
"RWE AG 2,125% 22/26",rwe ag 2 125 22 26,A30VJE,https://www.boerse-frankfurt.de/anleihe/xs2482936247-rwe-ag-2-125-22-26,xs2482936247,rwe-ag-2-125-22-26,rwe ag,2 125 22 26,2.125,22,26,0
"RWE AG 2,75% 22/30",rwe ag 2 75 22 30,A30VJF,https://www.boerse-frankfurt.de/anleihe/xs2482887879-rwe-ag-2-75-22-30,xs2482887879,#NAME?,rwe ag,2 75 22 30,2.75,22,30,1
"RWE AG 2,75% 22/30",rwe ag 2 75 22 30,A30VJF,https://www.boerse-frankfurt.de/anleihe/xs2482887879-rwe-ag-2-75-22-30,xs2482887879,rwe-ag-2-75-22-30,rwe ag,2 75 22 30,2.75,22,30,0
"Evonik Industries AG 2,25% 22/27",evonik industries ag 2 25 22 27,A30VJM,https://www.boerse-frankfurt.de/anleihe/xs2485162163-evonik-industries-ag-2-25-22-27,xs2485162163,#NAME?,evonik industries ag,2 25 22 27,2.25,22,27,1
"Evonik Industries AG 2,25% 22/27",evonik industries ag 2 25 22 27,A30VJM,https://www.boerse-frankfurt.de/anleihe/xs2485162163-evonik-industries-ag-2-25-22-27,xs2485162163,evonik-industries-ag-2-25-22-27,evonik industries ag,2 25 22 27,2.25,22,27,0
"E.ON SE 2,875% 22/28",e on se 2 875 22 28,A30VMX,https://www.boerse-frankfurt.de/anleihe/xs2526828996-e-on-se-2-875-22-28,xs2526828996,e-on-se-2-875-22-28,e on se,2 875 22 28,2.875,22,28,0
"Eurogrid GmbH 3,279% 22/31",eurogrid gmbh 3 279 22 31,A30VMY,https://www.boerse-frankfurt.de/anleihe/xs2527319979-eurogrid-gmbh-3-279-22-31,xs2527319979,#NAME?,eurogrid gmbh,3 279 22 31,3.279,22,31,1
"Eurogrid GmbH 3,279% 22/31",eurogrid gmbh 3 279 22 31,A30VMY,https://www.boerse-frankfurt.de/anleihe/xs2527319979-eurogrid-gmbh-3-279-22-31,xs2527319979,eurogrid-gmbh-3-279-22-31,eurogrid gmbh,3 279 22 31,3.279,22,31,0
"Amprion GmbH 3,45% 22/27",amprion gmbh 3 45 22 27,A30VPL,https://www.boerse-frankfurt.de/anleihe/de000a30vpl3-amprion-gmbh-3-45-22-27,de000a30vpl3,#NAME?,amprion gmbh,3 45 22 27,3.45,22,27,1
"Amprion GmbH 3,45% 22/27",amprion gmbh 3 45 22 27,A30VPL,https://www.boerse-frankfurt.de/anleihe/de000a30vpl3-amprion-gmbh-3-45-22-27,de000a30vpl3,amprion-gmbh-3-45-22-27,amprion gmbh,3 45 22 27,3.45,22,27,0
"Amprion GmbH 3,971% 22/32",amprion gmbh 3 971 22 32,A30VPM,https://www.boerse-frankfurt.de/anleihe/de000a30vpm1-amprion-gmbh-3-971-22-32,de000a30vpm1,#NAME?,amprion gmbh,3 971 22 32,3.971,22,32,1
